Date,PLC_Rate_BPS
12/01/2008,300.00 
01/01/2009,275.00 
02/01/2009,200.00 
03/01/2009,167.50 
04/01/2009,158.00 
05/01/2009,120.00 
06/01/2009,80.00 
07/01/2009,50.00 
08/01/2009,55.00 
09/01/2009,47.50 
10/01/2009,45.00 
11/01/2009,45.00 
12/01/2009,43.00 
01/01/2010,33.00 
02/01/2010,26.00 
03/01/2010,17.00 
04/01/2010,26.00 
05/01/2010,45.00 
06/01/2010,62.00 
07/01/2010,53.00 
08/01/2010,55.00 
09/01/2010,55.00 
10/01/2010,49.00 
11/01/2010,42.00 
12/01/2010,28.00 
01/01/2011,27.00 
02/01/2011,12.50 
03/01/2011,17.00 
04/01/2011,17.50 
05/01/2011,22.00 
06/01/2011,27.00 
07/01/2011,40.00 
08/01/2011,70.00 
09/01/2011,80.00 
10/01/2011,73.00 
11/01/2011,67.00 
12/01/2011,83.00 
01/01/2012,67.00 
02/01/2012,45.00 
03/01/2012,33.00 
04/01/2012,31.00 
05/01/2012,24.00 
06/01/2012,17.00 
07/01/2012,16.00 
08/01/2012,19.00 
09/01/2012,14.00 
10/01/2012,7.00 
11/01/2012,37.00 
12/01/2012,37.00 
01/01/2013,20.00 
02/01/2013,37.00 
03/01/2013,46.00 
04/01/2013,50.00 
05/01/2013,40.00 
06/01/2013,83.00 
07/01/2013,71.00 
08/01/2013,82.00 
09/01/2013,116.00 
10/01/2013,113.00 
11/01/2013,106.00 
12/01/2013,95.00 
01/01/2014,85.00 
02/01/2014,82.00 
03/01/2014,80.00 
04/01/2014,59.00 
05/01/2014,52.00 
06/01/2014,30.00 
07/01/2014,36.00 
08/01/2014,48.00 
09/01/2014,45.00 
10/01/2014,65.00 
11/01/2014,53.00 
12/01/2014,53.00 
01/01/2015,50.00 
02/01/2015,32.00 
03/01/2015,45.00 
04/01/2015,42.00 
05/01/2015,45.00 
06/01/2015,55.00 
07/01/2015,56.00 
08/01/2015,64.00 
09/01/2015,83.00 
10/01/2015,80.00 
11/01/2015,85.00 
12/01/2015,89.00 
01/01/2016,100.00 
02/01/2016,112.00 
03/01/2016,91.00 
04/01/2016,92.00 
05/01/2016,85.00 
06/01/2016,113.00 
07/01/2016,102.00 
08/01/2016,93.00 
09/01/2016,87.00 
10/01/2016,77.00 
11/01/2016,63.00 
12/01/2016,46.00 
01/01/2017,49.00 
02/01/2017,47.00 
03/01/2017,45.00 
04/01/2017,56.00 
05/01/2017,49.00 
06/01/2017,49.00 
07/01/2017,46.00 
08/01/2017,50.00 
09/01/2017,45.00 
10/01/2017,40.00 
11/01/2017,38.00 
12/01/2017,39.00 
01/01/2018,29.00 
02/01/2018,33.00 
03/01/2018,51.00 
04/01/2018,44.00 
05/01/2018,49.00 
06/01/2018,61.00 
07/01/2018,61.00 
08/01/2018,59.00 
09/01/2018,50.00 
10/01/2018,55.00 
11/01/2018,66.00 
12/01/2018,84.00 
01/01/2019,86.00 
02/01/2019,82.00 
03/01/2019,87.00 
04/01/2019,70.00 
05/01/2019,71.00 
06/01/2019,80.00 
07/01/2019,69.00 
08/01/2019,90.00 
09/01/2019,86.00 
10/01/2019,82.00 
11/01/2019,92.00 
12/01/2019,87.00 
01/01/2020,87.00 
02/01/2020,97.00 
03/01/2020,135.00 
04/01/2020,124.00 
05/01/2020,117.00 
06/01/2020,113.00 
07/01/2020,103.00 
08/01/2020,78.00 
09/01/2020,77.00 
10/01/2020,83.00 
11/01/2020,82.00 
12/01/2020,67.00 
01/01/2021,55.00 
02/01/2021,38.00 
03/01/2021,29.00 
04/01/2021,33.00 
05/01/2021,23.00 
06/01/2021,24.00 
07/01/2021,29.00 
08/01/2021,31.00 
09/01/2021,20.00 
10/01/2021,18.00 
11/01/2021,24.00 
12/01/2021,27.00 
01/01/2022,23.00 
02/01/2022,39.00 
03/01/2022,38.00 
04/01/2022,34.00 
05/01/2022,48.00 
06/01/2022,61.00 
07/01/2022,69.00 
08/01/2022,65.00 
09/01/2022,74.00 
10/01/2022,95.00 
11/01/2022,95.00 
12/01/2022,81.00 
01/01/2023,79.00 
02/01/2023,60.00 
03/01/2023,105.00 
04/01/2023,116.00 
05/01/2023,119.00 
06/01/2023,108.00 
07/01/2023,111.00 
08/01/2023,113.00 
09/01/2023,114.00 
10/01/2023,123.00 
11/01/2023,114.00 
12/01/2023,100.00 
01/01/2024,98.00 
02/01/2024,85.00 
03/01/2024,85.00 
04/01/2024,85.00 
05/01/2024,81.50 
06/01/2024,81.00 
07/01/2024,86.00 
08/01/2024,88.00 
09/01/2024,80.00 
10/01/2024,77.00 
11/01/2024,72.00 
12/01/2024,69.00 
01/01/2025,69.00 
02/01/2025,77.00 
03/01/2025,82.00 
04/01/2025,99.00 
05/01/2025,97.00 
06/01/2025,94.00 
07/01/2025,90.00 
08/01/2025,86.00 
09/01/2025,80.00 
10/01/2025,80.00 
11/01/2025,76.00 
12/01/2025,64.00 
01/01/2026,42.00 
02/01/2026,51.00 
